#Marche Dollase Result of Fitting
#Using advanced fitting mode: False
#-> row 0: x0: 285, y0:131, width:171, height:171, d_spacing:None, sigma:None, alpha:None, a1:None, a2:None
#
#image index, TOF(micros), Lambda(Angstroms), row 0
410, 4535.68, 0.033582711851061944, 0.23126910000000003
411, 4545.92, 0.033613873226650486, 0.23051521
412, 4556.16, 0.03364503460223901, 0.23028523
413, 4566.4, 0.033676195977827554, 0.23107103
414, 4576.64, 0.03370735735341608, 0.23115560000000002
415, 4586.88, 0.033738518729004616, 0.23028784
416, 4597.12, 0.03376968010459315, 0.23094210000000004
417, 4607.36, 0.033800841480181684, 0.2316235
418, 4617.6, 0.03383200285577022, 0.23071074
419, 4627.84, 0.03386316423135875, 0.23070863
420, 4638.08, 0.033894325606947294, 0.23025547
421, 4648.32, 0.03392548698253582, 0.23015583
422, 4658.56, 0.03395664835812436, 0.23045245
423, 4668.8, 0.03398780973371289, 0.23025031
424, 4679.04, 0.034018971109301424, 0.23026799
425, 4689.28, 0.034050132484889965, 0.2299133
426, 4699.52, 0.0340812938604785, 0.2295979
427, 4709.76, 0.034112455236067034, 0.23032926
428, 4720.0, 0.03414361661165557, 0.2293303
429, 4730.24, 0.03417477798724409, 0.23010217
430, 4740.480000000001, 0.03420593936283263, 0.22877952
431, 4750.72, 0.034237100738421164, 0.22908506
432, 4760.96, 0.0342682621140097, 0.22879268
433, 4771.2, 0.034299423489598226, 0.22946018
434, 4781.44, 0.03433058486518677, 0.2295564
435, 4791.68, 0.0343617462407753, 0.22839539999999997
436, 4801.92, 0.034392907616363835, 0.22888647
437, 4812.16, 0.03442406899195237, 0.22894837
438, 4822.4000000000015, 0.034455230367540904, 0.22943869
439, 4832.64, 0.03448639174312944, 0.22835395
440, 4842.88, 0.034517553118717965, 0.22872958
441, 4853.12, 0.034548714494306514, 0.22889134
442, 4863.36, 0.03457987586989504, 0.22867744
443, 4873.5999999999985, 0.034611037245483575, 0.2277721
444, 4883.84, 0.03464219862107211, 0.22807552
445, 4894.08, 0.034673359996660644, 0.22814299
446, 4904.3200000000015, 0.03470452137224917, 0.22781801
447, 4914.56, 0.03473568274783771, 0.22847836
448, 4924.8, 0.03476684412342624, 0.22784048
449, 4935.04, 0.03479800549901478, 0.2268819
450, 4945.28, 0.034829166874603315, 0.22672644
451, 4955.52, 0.03486032825019185, 0.227154
452, 4965.759999999998, 0.034891489625780384, 0.22688562
453, 4976.0, 0.03492265100136892, 0.22701020000000002
454, 4986.240000000002, 0.034953812376957445, 0.22706723
455, 4996.480000000001, 0.03498497375254598, 0.22645965
456, 5006.72, 0.03501613512813452, 0.22670855
457, 5016.96, 0.03504729650372305, 0.22587165
458, 5027.2, 0.03507845787931158, 0.22670163
459, 5037.44, 0.03510961925490012, 0.226104
460, 5047.6799999999985, 0.035140780630488665, 0.22504528
461, 5057.919999999999, 0.03517194200607718, 0.22721341
462, 5068.160000000002, 0.035203103381665726, 0.22482218
463, 5078.4000000000015, 0.03523426475725425, 0.2253442
464, 5088.64, 0.035265426132842795, 0.22460562
465, 5098.88, 0.03529658750843132, 0.22463746
466, 5109.12, 0.03532774888401986, 0.2256199
467, 5119.36, 0.03535891025960839, 0.22461998
468, 5129.5999999999985, 0.03539007163519693, 0.22468169
469, 5139.839999999998, 0.03542123301078546, 0.22510967
470, 5150.08, 0.035452394386373993, 0.22410811
471, 5160.3200000000015, 0.035483555761962535, 0.22368464
472, 5170.56, 0.03551471713755107, 0.22495477
473, 5180.8, 0.0355458785131396, 0.2238721
474, 5191.04, 0.03557703988872813, 0.2240087
475, 5201.28, 0.035608201264316665, 0.22387584
476, 5211.52, 0.0356393626399052, 0.22349386
477, 5221.76, 0.03567052401549373, 0.22340104
478, 5232.0, 0.03570168539108227, 0.22416908
479, 5242.24, 0.0357328467666708, 0.2226661
480, 5252.480000000001, 0.035764008142259336, 0.2230677
481, 5262.72, 0.035795169517847884, 0.22284971
482, 5272.96, 0.035826330893436405, 0.22280405
483, 5283.2, 0.03585749226902494, 0.22156479999999998
484, 5293.44, 0.035888653644613466, 0.22113405
485, 5303.68, 0.035919815020202014, 0.2212109
486, 5313.92, 0.035950976395790535, 0.22150949999999997
487, 5324.16, 0.03598213777137908, 0.22152653
488, 5334.4000000000015, 0.03601329914696761, 0.22088929
489, 5344.64, 0.03604446052255615, 0.22087799
490, 5354.88, 0.03607562189814468, 0.22014444
491, 5365.12, 0.03610678327373321, 0.22047275
