#index, bin x0, bin y0, bin x1, bin y1, lambda hkl val, lambda hkl err, d value, d err, strain, strain error
0, 254, 204, 204, 214, 2.607478456517771, 0.0008378540754286117, 1.3037392282588856, 0.00041892703771430584, 0.033893123123620666, 1.123361490128098
1, 254, 214, 214, 224, 2.6168299885669355, 0.001305020809714002, 1.3084149942834677, 0.000652510404857001, 0.037601105696643815, 1.1235950734952405
2, 254, 224, 224, 234, 2.6039835429256866, 0.0016405836241407741, 1.3019917714628433, 0.0008202918120703871, 0.03250735246855146, 1.1237628549024539
3, 254, 234, 234, 244, 2.612601694367308, 0.005498276400147067, 1.306300847183654, 0.0027491382000735336, 0.03592454177926568, 1.125691701290457
4, 254, 244, 244, 254, 2.607202149674128, 0.0010654822395228674, 1.303601074837064, 0.0005327411197614337, 0.0337835645020333, 1.123475304210145
5, 254, 254, 254, 264, 2.6066962889515346, 0.0010283839300929967, 1.3033481444757673, 0.0005141919650464983, 0.03358298530988692, 1.12345675505543
6, 254, 264, 264, 274, 2.6059884879445065, 0.0009600178355567949, 1.3029942439722533, 0.00048000891777839747, 0.03330233463303202, 1.1234225720081619
7, 254, 274, 274, 284, 2.611137616019202, 0.0007839995979197059, 1.305568808009601, 0.00039199979895985295, 0.035344019040127815, 1.1233345628893434
8, 254, 284, 284, 294, 2.6095457524641317, 0.001119795123587612, 1.3047728762320658, 0.000559897561793806, 0.034712828098386946, 1.1235024606521773
9, 254, 294, 294, 304, 2.5987307192718125, 0.0014734720346705752, 1.2993653596359063, 0.0007367360173352876, 0.03042455165416842, 1.123679299107719
10, 264, 204, 204, 214, 2.611650029008035, 0.007426637476695352, 1.3058250145040176, 0.003713318738347676, 0.03554719627598546, 1.126655881828731
11, 264, 214, 214, 224, 2.611436410149719, 0.003006314081138111, 1.3057182050748595, 0.0015031570405690555, 0.035462494111704664, 1.1244457201309526
12, 264, 224, 224, 234, 2.6098836459524395, 0.0008045896144760965, 1.3049418229762197, 0.00040229480723804825, 0.03484680648391741, 1.1233448578976215
13, 264, 234, 234, 244, 2.6114153887987555, 0.0007316906402256481, 1.3057076943993777, 0.00036584532011282406, 0.035454158920997486, 1.1233084084104963
14, 264, 244, 244, 254, 2.6168529206142166, 0.003867710172389137, 1.3084264603071083, 0.0019338550861945686, 0.037610198498896436, 1.124876418176578
15, 264, 254, 254, 264, 2.6076935087905206, 0.0007675263091828998, 1.3038467543952603, 0.0003837631545914499, 0.03397839365207012, 1.123326326244975
16, 264, 264, 264, 274, 2.5888389722792526, 0.0019890221485768496, 1.2944194861396263, 0.0009945110742884248, 0.026502368072661715, 1.123937074164672
17, 264, 274, 274, 284, 2.611211800464976, 0.0014664776419695171, 1.305605900232488, 0.0007332388209847586, 0.03537343396708019, 1.1236758019113684
18, 264, 284, 284, 294, 2.6119530678426646, 0.00914894044747182, 1.3059765339213323, 0.00457447022373591, 0.03566735441818587, 1.1275170333141193
19, 264, 294, 294, 304, 2.606703346925736, 0.0010269520304471223, 1.303351673462868, 0.0005134760152235611, 0.033585783872219006, 1.1234560391056072
20, 274, 204, 204, 214, 2.610029336064325, 0.0008544372985112284, 1.3050146680321626, 0.0004272186492556142, 0.03490457417300769, 1.123369781739639
21, 274, 214, 214, 224, 2.610749373167176, 0.0018664245078570119, 1.305374686583588, 0.0009332122539285059, 0.035190076592853385, 1.123875775344312
22, 274, 224, 224, 234, 2.608912054032991, 0.0010181698632876527, 1.3044560270164955, 0.0005090849316438264, 0.03446155988619798, 1.1234516480220273
23, 274, 234, 234, 244, 2.6092116620395447, 0.0010296598224113062, 1.3046058310197723, 0.0005148299112056531, 0.0345803576683366, 1.1234573930015892
24, 274, 244, 244, 254, 2.6077256308359518, 0.0007739521135380863, 1.3038628154179759, 0.00038697605676904316, 0.033991130386975404, 1.1233295391471525
25, 274, 254, 254, 264, 2.600164753308214, 0.0012970426291474596, 1.300082376654107, 0.0006485213145737298, 0.03099316150206747, 1.1235910844049573
26, 274, 264, 264, 274, 2.609349806643059, 0.0012904523587843162, 1.3046749033215295, 0.0006452261793921581, 0.03463513348257698, 1.1235877892697756
