X	Z	Y	O	d_P-Ni311_1
-12.508	-11.321	5.337	-17.505	1.085097
-10.347	-11.321	5.966	-29.595	1.085488
-8.236	-11.321	6.338	-35.691	1.085417
-6.173	-11.321	6.507	-41.761	1.085467
-4.137	-11.321	6.425	-49.206	1.085422
-2.124	-11.321	6.277	-56.538	1.085391
-0.135	-11.321	6.011	-56.538	1.085467
1.831	-11.321	5.67	-56.538	1.085526
3.793	-11.321	5.396	-56.538	1.085524
5.74	-11.333	5.042	-58.419	1.085474
7.706	-11.333	4.714	-53.629	1.085444
9.672	-11.333	4.385	-53.629	1.08553
11.652	-11.333	4.032	-58.548	1.085469
13.643	-11.333	3.748	-57.416	1.085024
15.679	-11.333	3.412	-57.416	1.08478
-15.076	-13.318	4.21	-10.462	1.084591
-12.869	-13.318	4.985	-17.507	1.085131
-10.704	-13.318	5.692	-27.862	1.085393
-8.59	-13.318	6.154	-33.95	1.085385
-6.526	-13.318	6.329	-40.017	1.085309
-4.481	-13.318	6.342	-52.081	1.085333
-2.468	-13.318	6.213	-55.196	1.08546
-0.474	-13.318	5.972	-55.196	1.085509
1.506	-13.329	5.691	-50.239	1.085506
3.476	-13.329	5.386	-50.239	1.085487
5.456	-13.329	5.189	-50.239	1.08553
7.437	-13.329	4.9	-51.883	1.085721
9.438	-13.329	4.658	-51.883	1.085549
11.45	-13.329	4.358	-55.781	1.085442
13.493	-13.329	4.049	-55.781	1.085091
15.574	-13.34	3.702	-58.069	1.084819
-15.379	-15.318	3.681	-7.396	1.084883
-13.572	-15.318	4.469	-13.712	1.085116
-11.333	-15.318	5.309	-25.803	1.085053
-9.157	-15.318	5.832	-31.885	1.085196
-7.06	-15.318	6.058	-37.956	1.08519
-5.002	-15.318	6.19	-50.866	1.085263
-2.987	-15.318	6.099	-52.77	1.085228
-0.994	-15.318	5.856	-46.938	1.085379
0.982	-15.328	5.739	-46.938	1.085535
2.954	-15.328	5.558	-50.236	1.085685
4.934	-15.328	5.297	-48.584	1.08564
6.94	-15.328	5.124	-48.584	1.085494
8.981	-15.328	4.88	-50.233	1.085744
11.059	-15.328	4.6	-53.597	1.085449
13.053	-15.328	4.458	-53.597	1.085254
15.121	-15.339	4.198	-55.77	1.084963
-16.266	-17.321	3.033	-4.957	1.084901
-14.003	-17.321	3.999	-11.333	1.085045
-11.784	-17.321	4.901	-30.547	1.084909
-9.622	-17.321	5.502	-36.231	1.084882
-7.503	-17.321	5.845	-39.078	1.085187
-5.417	-17.321	5.962	-43.688	1.085083
-3.361	-17.321	5.907	-45.515	1.085343
-1.327	-17.321	5.829	-45.515	1.085383
0.688	-17.321	5.656	-45.515	1.085413
2.692	-17.321	5.629	-45.515	1.085538
4.689	-17.332	5.528	-48.575	1.085692
6.684	-17.332	5.327	-47.021	1.08576
8.695	-17.332	5.23	-47.021	1.085775
